train_ratio,train_num_samples,train,val,test
0.005,255,0.9804,0.9602,0.9659
0.015625,796,0.9548,0.9744,0.9776
0.03125,1593,0.9541,0.9816,0.983
0.0625,3187,0.9555,0.9849,0.9869
0.125,6375,0.9442,0.9861,0.988
0.25,12750,0.949,0.9848,0.9878
0.5,25500,0.9472,0.986,0.9879
1,51000,0.9443,0.9853,0.989
